id;name;geoid;geoname;value;datetime
805;Precio medio cuarto horario componente mercado diario;;;65;2026-01-02T01:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;61.33;2026-01-02T01:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;59.5;2026-01-02T01:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;59.5;2026-01-02T02:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;59.24;2026-01-02T02:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.98;2026-01-02T02:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.72;2026-01-02T02:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.72;2026-01-02T03:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;56.2;2026-01-02T03:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.25;2026-01-02T03:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.2;2026-01-02T03:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T04:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T04:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T04:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T04:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T05:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.01;2026-01-02T05:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.25;2026-01-02T05:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;56.2;2026-01-02T05:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.98;2026-01-02T06:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;59.37;2026-01-02T06:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;61;2026-01-02T06:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;66;2026-01-02T06:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;69.33;2026-01-02T07:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.5;2026-01-02T07:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.67;2026-01-02T07:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;82.76;2026-01-02T07:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;83.02;2026-01-02T08:00:00+01:00
